token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST203	0	0	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=5.48	_	_	_	_
0-1	PST203	0	0	1	portato	portato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST203	0	0	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST203	0	0	3	regalo	regalo	_	_	_	_	_	linguistic	_	none	_	End=6.88	_	_	_	_
1-0	PST213	1	1	0	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	Begin=7.62|End=8.3	_	_	_	_
2-0	PST098	2	2	0	y	y	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=8.416	_	_	_	_
2-1	PST098	2	2	1	el	el	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
2-2	PST098	2	2	2	domingo	domingo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
2-3	PST098	2	2	3	la	la	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
2-4	PST098	2	2	4	noche,	noche	_	_	_	_	_	linguistic	_	all	Intonation=WeaklyRising|Language=NO_ISO_CODE	End=10.0	_	_	_	_
4-0	PST213	4	4	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=10.21	_	_	_	_
4-1	PST213	4	4	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=10.69	_	_	_	_
5-0	PST098	5	5	0	este::::	este	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=10.72	3x4	_	_	_
5-1	PST098	5	5	1	(.)	.	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-2	PST098	5	5	2	siempre	siempre	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-3	PST098	5	5	3	(seguía)	seguía	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-4	PST098	5	5	4	como	como	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-5	PST098	5	5	5	que,	que	_	_	_	_	_	linguistic	_	all	Intonation=WeaklyRising|Language=NO_ISO_CODE	_	_	_	_	_
5-6	PST098	5	5	6	para	para	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-7	PST098	5	5	7	comer	comer	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-8	PST098	5	5	8	en	en	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-9	PST098	5	5	9	la	la	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-10	PST098	5	5	10	noche	noche	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-11	PST098	5	5	11	(si)	si	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-12	PST098	5	5	12	entre	entre	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
5-13	PST098	5	5	13	todos	todos	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=16.07	_	_	_	_
7-0	PST213	7	7	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=16.07	_	_	_	_
7-1	PST213	7	7	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=16.66	_	_	_	_
8-0	PST098	8	8	0	y	y	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=17.75	_	_	_	_
8-1	PST098	8	8	1	escuché:	escuché	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	6x1	_	_	_
8-2	PST098	8	8	2	un	un	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
8-3	PST098	8	8	3	fuerte	fuerte	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
8-4	PST098	8	8	4	ruido	ruido	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=19.826	_	_	_	_
10-0	PST098	10	10	0	y	y	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=20.68	_	_	_	_
10-1	PST098	10	10	1	total	total	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
10-2	PST098	10	10	2	que	que	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
10-3	PST098	10	10	3	(.)	.	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
10-4	PST098	10	10	4	el	el	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
10-5	PST098	10	10	5	perrito	perrito	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
10-6	PST098	10	10	6	chihuahua	chihuahua	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=22.79	_	_	_	_
12-0	PST098	12	12	0	como	como	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=23.46	_	_	_	_
12-1	PST098	12	12	1	los	los	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
12-2	PST098	12	12	2	chihuauas	chihuauas	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
12-3	PST098	12	12	3	son	son	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
12-4	PST098	12	12	4	uno	uno	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
12-5	PST098	12	12	5	perritos	perritos	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
12-6	PST098	12	12	6	muy:::	muy	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	2x3	_	_	_
12-7	PST098	12	12	7	e[scandalo]sos	escandalosos	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=27.07	_	_	_	_
