token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST203	0	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=5.48	_	_	_	_
0-1	PST203	0	1	portato	portato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST203	0	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST203	0	3	regalo	regalo	_	_	_	_	_	linguistic	_	none	_	End=6.88	_	_	_	_
1-0	PST213	1	0	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	Begin=7.62|End=8.3	_	_	_	_
2-0	PST098	2	0	y	y	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	Begin=8.416	_	_	_	_
2-1	PST098	2	1	el	el	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
2-2	PST098	2	2	domingo	domingo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
2-3	PST098	2	3	la	la	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
2-4	PST098	2	4	noche,	noche	_	_	_	_	_	linguistic	_	all	Intonation=WeaklyRising|Language=NO_ISO_CODE|Variation=Token	End=10.0	_	_	_	_
4-0	PST213	4	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=10.21	_	_	_	_
4-1	PST213	4	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=10.69	_	_	_	_
5-0	PST098	5	0	este::::	este	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	Begin=10.72	3x4	_	_	_
5-1	PST098	5	1	(.)	(.)	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-2	PST098	5	2	siempre	siempre	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-3	PST098	5	3	(seguía)	seguía	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-4	PST098	5	4	como	como	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-5	PST098	5	5	que,	que	_	_	_	_	_	linguistic	_	all	Intonation=WeaklyRising|Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-6	PST098	5	6	para	para	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-7	PST098	5	7	comer	comer	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-8	PST098	5	8	en	en	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-9	PST098	5	9	la	la	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-10	PST098	5	10	noche	noche	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-11	PST098	5	11	(si)	si	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
