token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST206	0	0	0	ciao	ciao	_	_	_	_	_	linguistic	_	none	_	Begin=1.1|End=1.401	_	_	_	_
1-0	PST018	1	1	0	ciao	ciao	_	_	_	_	_	linguistic	_	none	_	Begin=1.6|End=1.92	_	_	_	_
2-0	PST206	2	2	0	come	come	_	_	_	_	_	linguistic	_	none	_	Begin=2.6	_	_	_	_
2-1	PST206	2	2	1	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST206	2	2	2	chiami?	chiami	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=3.197	_	_	_	_
3-0	PST018	3	3	0	mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=3.3	_	_	_	_
3-1	PST018	3	3	1	chiamo	chiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PST018	3	3	2	@imane	@imane	_	_	_	_	_	anonymized	_	none	_	End=3.899	_	_	_	_
4-0	PST206	4	4	0	quanti	quanti	_	_	_	_	_	linguistic	_	none	_	Begin=4.49	_	_	_	_
4-1	PST206	4	4	1	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PST206	4	4	2	hai?	hai	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=5.13	_	_	_	_
5-0	PST018	5	5	0	ne	ne	_	_	_	_	_	linguistic	_	none	_	Begin=5.3	_	_	_	_
5-1	PST018	5	5	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PST018	5	5	2	ventuno	ventuno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PST018	5	5	3	ventidue	ventidue	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PST018	5	5	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PST018	5	5	5	ottobre	ottobre	_	_	_	_	_	linguistic	_	none	_	End=6.797	_	_	_	_
6-0	PST206	6	6	0	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	Begin=7.613	_	_	_	_
6-1	PST206	6	6	1	studi?	studi	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=8.19	_	_	_	_
7-0	PST018	7	7	0	studio~	studio~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=8.606	_	_	_	_
7-1	PST018	7	7	1	studio	studio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST018	7	7	2	lingue	lingue	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PST018	7	7	3	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PST018	7	7	4	culture	culture	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PST018	7	7	5	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PST018	7	7	6	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PST018	7	7	7	turismo	turismo	_	_	_	_	_	linguistic	_	none	_	End=10.776	_	_	_	_
8-0	PST206	8	8	0	dove	dove	_	_	_	_	_	linguistic	_	none	_	Begin=11.706	_	_	_	_
8-1	PST206	8	8	1	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PST206	8	8	2	nata?	nata	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=12.412	_	_	_	_
9-0	PST018	9	9	0	sono	sono	_	_	_	_	_	linguistic	_	none	_	Begin=12.894	_	_	_	_
9-1	PST018	9	9	1	nata	nata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PST018	9	9	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	PST018	9	9	3	rivoli	rivoli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	PST018	9	9	4	nella	nella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PST018	9	9	5	provincia	provincia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	PST018	9	9	6	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	PST018	9	9	7	torino	torino	_	_	_	_	_	linguistic	_	none	_	End=14.405	_	_	_	_
10-0	PST206	10	10	0	che	che	_	_	_	_	_	linguistic	_	none	_	Begin=15.61	_	_	_	_
10-1	PST206	10	10	1	origini	origini	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	PST206	10	10	2	hai?	hai	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=16.21	_	_	_	_
11-0	PST018	11	11	0	origini	origini	_	_	_	_	_	linguistic	_	none	_	Begin=16.625	_	_	_	_
11-1	PST018	11	11	1	marocchine	marocchine	_	_	_	_	_	linguistic	_	none	_	End=17.54	_	_	_	_
12-0	PST206	12	12	0	dov'	dov'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=19.016	_	_	_	_
12-1	PST206	12	12	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
