PST203	ho portato un regalo
PST213	grazie
PST098	y el domingo la noche
PST213	ah ah
PST098	este . siempre seguía como que para comer en la noche si entre todos
PST213	ah ah
PST098	y escuché un fuerte ruido
PST098	y total que . el perrito chihuahua
PST098	como los chihuauas son uno perritos muy escandalosos
PST213	sì
PST213	sì
PST098	empezò a fastidiar el perro negro
PST213	sì
PST098	y qué es lo que hizo
PST213	ma quello quello dell'altra tua zia quella che non ha figli
PST098	sì
PST098	mh mh
PST213	e
PST098	le agarró al perrito . y le empezò perforar el estomago
PST213	ah
PST098	creo que si no agarraron una botella y la tiraron el perro para que lo pudiera soltar
PST213	sì
PST098	entonces como . es un hijo para mi tía que no tiene hijos
PST098	lo tuve que llevar al centro a una clìnica de perritos
PST213	per farlo operare
PST098	sì
PST213	e
PST098	entonces eso fue el lunes en la mañana
PST213	ah ah
PST098	porque todo eso pasó el domingo la noche
PST213	ah ah
PST098	entonces yo me levanto
PST098	y veo un buenos días a todos empiezo a saludar y voy donde estaban los perritos que estaban xxx
PST213	ah ah
PST098	el perro negro y el perro chihuahua
PST213	xxx cosa cosa
PST098	estaban encerrados
PST213	okay
PST098	yo voy tambien voy a saludar ride y ver a los perritos
PST213	ah ah
PST098	pero antes de eso me dijieron . eh @florencia no te acerques a los perros
PST213	perché
PST098	porque como yo no los conosco los perritos . pu~ puede ser de que tengan otro . también caracter y asì
PST213	okay
PST098	pero yo no hice caso . me acerqué
PST213	ah ah
PST098	primero a chiquitito
PST213	sì
PST098	lo llamé por su nombre acerco la mano y empiezo acarisiar
PST213	sì
PST213	sì
PST098	voy al perro negro
PST213	sì
PST098	empiezo llamarlo por su nombre
PST098	yo veo que el perro se acerca
PST098	meto mi mano
PST098	y ahí fué cuando . sentí que me mordió
PST213	ah
PST098	en ese momento yo me quedé en choc
PST098	porque
PST098	cuando ví que~ el~ perro me iba morder màs
PST098	yo saco mi mano
PST098	y en ese momento que el perro hace ruido porque cuando un perro muerde . hace ruido
PST213	sì
PST213	como eh
PST098	abuela
PST098	ah ah
PST098	mi abuela viene y me dice vibrazione cellulare @florencia @florencia que està pasando
PST098	y yo tenìa dos opciones
PST213	eh
PST098	si decirle o no decirle . porque me habìan dicho no te acerques a los perros
PST213	certo certo
PST098	me dije si es una mordida chiquita no lo digo nada
PST213	sì
PST098	pero si es en cambio una mordida grande . bueno ride
PST213	eh devo dirlo
PST098	entonces yo cuando hago así si porque yo agarré la mano acá
PST213	ah ah
PST098	toda esta parte está abierta . sangrando
PST098	y dije esto no lo puedo ocultar ride
PST098	entonces este le digo a mi abuela . mi abuela se empieza a asustar
PST213	mh
PST098	este . yo lo primero que le digo . llama a mi tío que sae~ sabe de primeros auxilios
PST098	y así empezó a lavar la herída
PST213	ah ah
PST098	pero en ese momento no lloré nada
PST213	mh mh
PST098	lo que màs sentía
PST213	ma non faceva malissimo
PST098	era dolor . porque . lo he empezado a ver y como ví la herída . que estaba todo horrible me empezó a dar mareos
PST213	eh
PST213	claro
PST098	y y en ese momento me desmayé
PST098	yo me despierto
PST213	ma eri ancora a casa lì
PST098	sì ero sì ero lì
PST213	ah ah
PST098	entonces este . yo me despierto . mi abuela estaba llorando y yo xxx
PST213	il grande dramma
PST098	y cuando yo la vì a llorar a ella . empecé a llorar
PST213	ah ah
PST098	porque me sentí mal . porque desde el inicio me dijeron . no te acerques a los perros
PST213	ah ah
PST213	non lo fare
PST098	e mis tías estaban en lima . porque yo nosotros estabamos afuera de lima
PST213	mh mh
PST213	ah ah
PST098	mis tías se fueron a lima para . justamente lo del perrito
PST213	sì
PST098	y yo xxx mi tìa me me . me llamó la atención
PST213	eh eh
PST098	me dijo . te dijimos de que no te acerques al perro
PST213	mentre che stavi piangendo che eri appena svenuta
PST098	te dijimos que no te acerques al perro . pero no hize caso
PST098	y a mi . en la herída me había puesto un papel
PST098	recien hecha una carta higiénica
PST213	no che si è tutta appiccicata
PST098	me lo tuvieron que quitar con alcol
PST213	ah uh
PST098	ese día yo ví a dios ride
PST213	beh
PST098	y mi tío me dijo . si es una herída grande
PST098	tenemos que ir al hospital para que te pongan puntos pero si no es así . una crema y ya
PST213	mh mh
PST098	cuando me sacan pues ya pasó todo eso de que me quitaran la carta higiénica
PST098	me dijo . no si tenemos que ir al hospital de emergencia
PST213	mh mh
PST098	y como era un paesino piccolo trovare un ospedale era sì era impossibile
PST213	mh mh
PST213	impossibile
PST213	e quindi
PST098	abbiamo girato tutto il paese per trovare il l'ospedale
PST213	e poi l'avete trovato
PST098	cuando el se fué cuando llegamos al hospital . estaba toda con la mano adolorida
PST213	ma continuava a sanguinare nel mentre
PST098	no no . no ya no
PST213	okay
PST098	entonces este la doctora dice que pasó
PST098	mi ah me mordió el perro
PST098	ah no creo que sea algo grande
PST098	cuando empiezan a quitarlo todo me miran y me dicen de verdad te mordió el perro
PST098	te has cortado la mano
PST098	y yo no si me mordió el perro ride
PST098	y ahí me empezaron a curar después . otro dolor . tan fuerte que sentí fué cuando me tuvieron que poner la anestesia
PST213	fa malissimo vero quella puntura
PST098	horrible sì fa malissimo
PST213	sì
PST213	sì
PST213	però poi dopo non hai non hai sentito il male dopo no
PST098	no es que xxx cuando a mi me pusieron el anestesia . yo miré de nuevo la herída
PST213	no e quindi sei di nuovo svenuta
PST098	mh casi
PST213	dui
PST213	oi
PST098	y . me pusieron solamente un punto acá . esto estaba . muy hinchado
PST213	ah ah
PST098	gonfiato y me tuvieron que poner eh
PST098	menos mal que el perro no tenía . ninguna enfermedad
PST213	sì
PST098	era vacunado y todo si no . era mucho peor xxx
PST213	eh
PST213	sì perché se no ti faceva infezione e poi un sacco di
PST098	al día siguiente fuí a la playa ride
PST098	y me metí
PST213	a disinfettare tutto con l'acqua di mare
PST098	sì si perché l'acqua è salata e quindi
PST213	sì sì sì fa guarire
PST098	guarisce più più veloce la ferita
PST213	più in fretta sì è vero
PST213	e quanto ci ha messo a cicatrizzarsi
PST098	ehm q~ quasi un mese
PST213	ah beh
PST098	più o meno un mese mi sa
PST213	e non potevi usare la mano no
PST098	no puse la mano derecha ride
PST213	uhi
PST213	che è è la tu~ è proprio la tua mano no
PST098	sì
PST098	tengo una foto cuando
PST213	vai fammi vedere
PST098	cuando me no sé s~
PST213	fa schifo
PST098	cioè quando io mi avevano messo il punto
PST213	okay
PST098	mh
PST213	e a voi hanno mai messo dei punti
PST089	no
PST213	no
PST099	no
PST098	okay
PST213	vai sono pronta
PST098	fa eh schifo
PST213	vai sono pronta
PST213	beh
PST213	grossa eh
PST098	eh e questa è la sabbia xx
PST213	del mare
PST098	sì
PST213	come hai fatto poi come hai fatto a pulirla
PST098	eh ho ho pulito con l'acqua normale
PST213	ah ah
PST098	pero tengo acá . mordidas también . el dedo gordo también
PST213	sì sì
PST098	hasta . a mi . me agarró
PST098	casi toda~ si yo no sacaba la mano en ese momento
PST213	te l'avrebbe mangiata tutta
PST098	sì
PST213	ma secondo te perché ha fatto così
PST098	secondo me perché i~ eh l~ la noche anterior había mordido al perrito chihuahua
PST213	mh mh
PST098	chi~ perrito chihuahua quedó en silla de ruedas . en silla si
PST213	no ma ancora adesso
PST098	no no adesso no
PST213	ah okay
PST098	però
PST213	gli hanno fatto un'operazione
PST098	faceva faceva ridere faceva
PST213	eh certo che fa ridere perché solamente le le zampe davanti ah
PST098	sì
PST098	quieren ver
PST213	sì
PST098	mh no se si da asco
PST099	mh
PST213	sì sì
PST213	e quindi secondo te è perché aveva già morso il
PST098	il cane piccolino il chihuahua
PST213	eh e quindi e e e cioè e quindi perché avrebbe dovuto mordere anche te
PST098	non lo so
PST213	okay
PST213	magari è diventato
PST098	mh sì era un po'
PST213	boh
PST098	a parte xxx como yo no conocía el perro . el perro no me conocía a mí
PST213	mh
PST098	yo ero una extraña para él . para el perrito
PST213	mh
PST213	però a te in generale ti piacevano i cani cioè ti piacciono i cani
PST098	sì adesso anche adesso mi piacciono
PST213	anche adesso ti piacciono meno male
PST098	anche se a pesar de esto me gustan animales
PST213	okay okay okay
PST213	e ti piacciono di più i cani o i gatti
PST098	tutti e due
PST213	tutti e due gli animali in generale
PST098	pero esto no es mi es mi segunda mordida de perro ride
PST213	no e l'altra
PST098	fué . en esa rodilla ride
PST213	ma come
PST098	pasó en mi casa
PST213	mh mh
PST098	fui a acompañar a una prima . a comprar una cosa
PST098	cuando estábamos regresando . eh
PST098	yo mi perrita estaba en celo . no sé como se dice en italiano
PST213	non so cosa
PST098	stava mh
PST213	voi sapete
PST089	queriendo el perro lo sa
PST089	tiene
PST213	ah sì in calore
PST098	in calore
PST213	queriendo el perro sì effettivamente derreando eh sì
PST098	estaba en calor y se acercó otro perro
PST213	ah ah
PST098	y en eso yo que voy acariciarla . se acercó otro perro y empezaron a a pelear
PST213	sì
PST213	mh mh
PST098	perros
PST098	en ese momento de xxx sai estaba allì presente en la pelea en la pelea de los perros
PST098	yo creo que un perro se habrá equivocado habrá confundido mi pierna . con la del perro
PST098	y me mordió a mi . en vez del perro
PST213	okay
PST098	en ese momento tampoco lloré ride
PST098	porque mis amigos empezaron a reir de mí
PST213	no
PST098	y entonces yo co~ estaban riendo . mejor no lloro ride
PST098	llegué a mi casa . y me saqué la mano pues estaba sangrando y empezé a llorar
PST213	chiaro
PST098	y me . mi mamá estaba trabajando
PST098	una tía mía me tuvo que limpiar toda la herída todo eso esperar que llega mi mamá
PST098	me llevaron al hospital . me tuvieron que poner bendar la rodilla
PST098	el perro también estaba con sus vacunas entonces no
PST213	che x che fortuna anche qua eh
PST098	sì ride
PST213	mh
PST098	e son . dos . mordidas de perro que ride
PST213	evvai
PST213	beh speriamo basta poi dai
PST098	speriamo
PST213	eh
PST213	eh
PST213	a voi impressiona il sangue cioè vi viene da svenire quando vedete il sangue
PST089	no
PST099	mh
PST213	no
PST213	no neanche a me troppo
PST213	no
PST213	però devo dire che non ho mai sanguinato tantissimo quindi
PST098	mh
PST213	cioè s~ se mi si aprisse la mano così magari anche anche a me farebbe impressione vedermi
PST213	più che altro è vedere la pelle sotto no credo che faccia veramente impressione
PST098	sì
PST213	mh
PST165	ragazzi adesso andiamo eh
PST165	vado un attimo in bagno e poi partiamo
PST213	mh non c'abbiamo fretta
PST089	quieres gaseosa
PST213	cosa
PST089	gaseosa
PST089	esto
PST213	no grazie
PST213	avevo capito graziosa
PST213	graziosa a chi
PST213	sì
PST213	e quindi cosa facciamo oggi lo sapete
PST098	mh deve venire una signora mi sa
PST213	ah quella che vi deve dare i consigli
PST098	mh mh
PST213	mh mh
PST098	gracias
PST089	xx xx xx
PST213	di mh come come parlare alle persone no come
PST098	sì perché lei ha esperienza con questo oggi
PST098	di fare la guida in un
PST213	mh mh
PST213	cioè
PST213	veramente non lo so bene io cosa
PST213	in cosa sia esperta però so che è esperta e che ci darà i consigli
PST213	forse su che domande fare come non lo so
PST213	non lo so
PST213	però secondo me potrebbe essere interessante
PST213	cioè magari non per questa cosa ma nella vita così secondo me magari è una di quelle robe che
PST213	può essere utile da sapere nella vita
