token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST211	0	0	boh	boh	_	_	_	_	_	linguistic	_	none	_	Begin=1.36	_	_	_	_
0-1	PST211	0	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST211	0	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST211	0	3	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST211	0	4	messo	messo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PST211	0	5	niente	niente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PST211	0	6	lì	lì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PST211	0	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PST211	0	8	carica	carica	_	_	_	_	_	linguistic	_	none	_	End=3.25	_	_	_	_
1-0	PST211	1	0	questa	questa	_	_	_	_	_	linguistic	_	none	_	Begin=6.24	_	_	_	_
1-1	PST211	1	1	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
1-2	PST211	1	2	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PST211	1	3	fatta	fatta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PST211	1	4	tu:	tu	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
1-5	PST211	1	5	no:?	no	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=7.74	1x1	_	_	_
2-0	PST086	2	0	sì::	sì	_	_	_	_	_	linguistic	_	none	_	Begin=7.74|End=8.09	1x2	_	_	_
3-0	PST211	3	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=8.1|End=8.36	_	_	_	_
4-0	PST086	4	0	°non	non	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=9.83	_	_	_	_
4-1	PST086	4	1	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No|Volume=low	_	_	_	_	_
4-2	PST086	4	2	ho	ho	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
4-3	PST086	4	3	fatto	fatto	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
4-4	PST086	4	4	io	io	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
4-5	PST086	4	5	questo°	questo	_	_	_	_	_	linguistic	_	none	Volume=low	End=10.87	_	_	_	_
