token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST083	0	0	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=2.12	_	_	_	_
0-1	PST083	0	0	1	quello	quello	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST083	0	0	2	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST083	0	0	3	però	però	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST083	0	0	4	[(xxx)]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	End=3.505	_	_	0-3(0)	0-3(0)
1-0	?	1	1	0	[tu	tu	_	_	_	_	_	linguistic	_	none	_	Begin=2.85	_	_	_	0-2(0)
1-1	?	1	1	1	@camilla]	@camilla	_	_	_	_	_	anonymized	_	none	_	_	_	_	_	0-8(0)
1-2	?	1	1	2	puoi	puoi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	?	1	1	3	incontra	incontra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	?	1	1	4	mia:	mia	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
1-5	?	1	1	5	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	?	1	1	6	figlia	figlia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	?	1	1	7	primogenita	primogenita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	?	1	1	8	sarta	sarta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-9	?	1	1	9	che:	che	_	_	_	_	_	linguistic	_	none	_	End=6.505	2x1	_	_	_
2-0	PST092	2	2	0	[xxx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=6.97	_	_	_	0-3(396)
2-1	PST092	2	2	1	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=9.72	_	_	_	_
3-0	PST211	3	3	0	[xxx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=6.97	_	_	_	0-3(396)
3-1	PST211	3	3	1	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=9.72	_	_	_	_
4-0	PST203	4	4	0	[xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	Begin=7.93	_	_	_	0-2(396)
4-1	PST203	4	4	1	xx]	xx	_	_	_	_	_	unknown	_	none	Syllables=2	End=9.12	_	_	_	0-2(396)
5-0	?	5	5	0	[la	la	_	_	_	_	_	linguistic	_	none	_	Begin=9.88	_	_	_	0-2(?)
5-1	?	5	5	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(?)
5-2	?	5	5	2	regista]	regista	_	_	_	_	_	linguistic	_	none	_	End=11.26	_	_	_	0-7(?)
6-0	PST211	6	6	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=9.88|End=11.26	_	_	_	_
7-0	?	7	7	0	o	o	_	_	_	_	_	linguistic	_	none	_	Begin=13.125	_	_	_	_
7-1	?	7	7	1	anzi	anzi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	?	7	7	2	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	?	7	7	3	produttrice	produttrice	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	?	7	7	4	esecutiva	esecutiva	_	_	_	_	_	linguistic	_	none	_	End=14.885	_	_	_	_
8-0	PST203	8	8	0	eccolo	eccolo	_	_	_	_	_	linguistic	_	none	_	Begin=15.8	_	_	_	_
8-1	PST203	8	8	1	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PST203	8	8	2	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PST203	8	8	3	primo	primo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PST203	8	8	4	piano	piano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	PST203	8	8	5	della	della	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-6	PST203	8	8	6	mamma,	mamma	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=17.74	_	_	_	_
9-0	PST203	9	9	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=18.825	_	_	_	_
9-1	PST203	9	9	1	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PST203	9	9	2	tagliata,	tagliata	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=19.805	_	_	_	_
10-0	?	10	10	0	vedi	vedi	_	_	_	_	_	linguistic	_	none	_	Begin=20.35	_	_	_	_
10-1	?	10	10	1	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	?	10	10	2	controluce	controluce	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	?	10	10	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	?	10	10	4	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	?	10	10	5	sui	sui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-6	?	10	10	6	capelli	capelli	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
10-7	?	10	10	7	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
10-8	?	10	10	8	guarda	guarda	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-9	?	10	10	9	guarda	guarda	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-10	?	10	10	10	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-11	?	10	10	11	roba	roba	_	_	_	_	_	linguistic	_	none	_	End=23.11	_	_	_	_
11-0	?	11	11	0	anche	anche	_	_	_	_	_	linguistic	_	none	_	Begin=24.07	_	_	_	_
11-1	?	11	11	1	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	?	11	11	2	lei	lei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	?	11	11	3	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	?	11	11	4	fronte	fronte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	?	11	11	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	?	11	11	6	@anita	@anita	_	_	_	_	_	anonymized	_	none	_	End=25.89	_	_	_	_
12-0	?	12	12	0	si	si	_	_	_	_	_	linguistic	_	none	_	Begin=26.0	_	_	_	_
12-1	?	12	12	1	disimpallano	disimpallano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	?	12	12	2	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
12-3	?	12	12	3	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	?	12	12	4	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	?	12	12	5	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
12-6	?	12	12	6	altra	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-7	?	12	12	7	guardate	guardate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	?	12	12	8	che	che	_	_	_	_	_	linguistic	_	none	_	End=28.94	_	_	_	_
13-0	PST203	13	13	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=29.74	_	_	_	_
13-1	PST203	13	13	1	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	PST203	13	13	2	pochi	pochi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-3	PST203	13	13	3	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	PST203	13	13	4	[cioè	cioè	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(1)
13-5	PST203	13	13	5	tenetevi	tenetevi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(1)
13-6	PST203	13	13	6	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
13-7	PST203	13	13	7	>adesso<	adesso	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-6(0)	_	0-6(1)
13-8	PST203	13	13	8	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(1)
13-9	PST203	13	13	9	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
13-10	PST203	13	13	10	so	so	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
13-11	PST203	13	13	11	chi	chi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
13-12	PST203	13	13	12	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	0-2(1)
13-13	PST203	13	13	13	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
13-14	PST203	13	13	14	fatta]	fatta	_	_	_	_	_	linguistic	_	none	_	End=33.36	_	_	_	0-5(1)
14-0	?	14	14	0	[come	come	_	_	_	_	_	linguistic	_	none	_	Begin=30.34	_	_	_	0-4(1)
14-1	?	14	14	1	dà	dà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
14-2	?	14	14	2	subito	subito	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	0-6(1)
14-3	?	14	14	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
14-4	?	14	14	4	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(1)
14-5	?	14	14	5	coperture	coperture	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-9(1)
14-6	?	14	14	6	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
14-7	?	14	14	7	cosìde]tte	cosìdette	_	_	_	_	_	linguistic	_	none	_	End=34.205	_	_	_	0-6(1)
15-0	PST203	15	15	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=34.225	_	_	_	_
15-1	PST203	15	15	1	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	PST203	15	15	2	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-3	PST203	15	15	3	lunga	lunga	_	_	_	_	_	linguistic	_	none	_	End=35.165	_	_	_	_
16-0	?	16	16	0	°tante	tante	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=44.96	_	_	_	_
16-1	?	16	16	1	volte	volte	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-2	?	16	16	2	il	il	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-3	?	16	16	3	cinema	cinema	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-4	?	16	16	4	è	è	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-5	?	16	16	5	questa	questa	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-6	?	16	16	6	cosa	cosa	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-7	?	16	16	7	qua	qua	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-8	?	16	16	8	eh	eh	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-9	?	16	16	9	senti	senti	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-10	?	16	16	10	la	la	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-11	?	16	16	11	musica	musica	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-12	?	16	16	12	per	per	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-13	?	16	16	13	caso	caso	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-14	?	16	16	14	sulla	sulla	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
16-15	?	16	16	15	strada°,	strada	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|Volume=low	End=49.12	_	_	_	_
17-0	?	17	17	0	°funziona	funziona	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=49.5	_	_	_	_
17-1	?	17	17	1	la	la	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
17-2	?	17	17	2	vai	vai	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
17-3	?	17	17	3	a	a	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
17-4	?	17	17	4	cercare°	cercare	_	_	_	_	_	linguistic	_	none	Volume=low	End=51.097	_	_	_	_
18-0	PST100	18	18	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=51.75	_	_	_	0-1(2)
18-1	PST100	18	18	1	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(2)
18-2	PST100	18	18	2	microfono	microfono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-9(2)
18-3	PST100	18	18	3	quale	quale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(2)
18-4	PST100	18	18	4	delle::	delle	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	4x2	_	_	0-5(2)
18-5	PST100	18	18	5	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
18-6	PST100	18	18	6	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(2)
18-7	PST100	18	18	7	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(2)
18-8	PST100	18	18	8	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(2)
18-9	PST100	18	18	9	parte]?	parte	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=56.73	_	_	_	0-5(2)
