tu_id	speaker	start	end	parent_tu_id	text
5	PST063_trad	18.903	26.813	4	che noi noi non compriamo i biglietti dal tabaccaio ma paghiamo direttamente sul pullman
10	PST063_trad	29.174	31.377	9	per quanto riguarda anche
16	PST063_trad	43.849	46.319	15	invece qui è diverso ti aiutano
106	PST063_trad	318.121	319.841	105	oppure il portoghese
180	PST063_trad	507.561	509.933	179	quindi devo prendere l'undici per arrivare al lavoro
188	PST063_trad	522.362	525.808	187	all'inizio sì perché visto che io non sono di
203	PST063_trad	589.595	599.603	202	penso di più fuori perché sei a scuola vabbè c'è lo studente che ti portan, che parlate con lui, qualche volta, ma dopo rimani a casa sei da solo
205	PST063_trad	600.460	605.893	204	come nel mio caso che dopo lo studio mi fermavo a casa non uscivo mai
208	PST063_trad	606.425	611.064	207	e quello non mi aiutava di più a potere migliorare nell'italiano
275	PST063_trad	821.461	828.687	274	potevi chiedere qualche volta alle persone oppure fare delle foto, appuntare bene la via
284	PST063_trad	842.640	845.769	283	ma quando ho iniziato a fare la scuola
335	PST063_trad	1003.200	1012.080	334	mi è venuta l'ansia, un po' di paura perché siccome c'era tanta gente e noi dobbiamo restare tutti insieme
356	PST063_trad	1071.494	1072.762	355	fanno più le attività di là
359	PST063_trad	1073.750	1075.820	358	più le attività di là che di qua a torino
365	PST063_trad	1085.690	1090.806	364	ma qualche volta quando c'è l'attività io non posso perché c'è il lavoro oppure
372	PST063_trad	1102.198	1110.643	371	ma adesso che a ottobre inizio le vacanze vedrò se c'è qualche attività per andare lì e divertirmi un po'
384	PST063_trad	1139.830	1145.503	383	costa troppo sì devo vedere anche quando costa meno il giorno esatto
395	PST063_trad	1174.318	1175.078	394	sì perché
397	PST063_trad	1175.604	1180.837	396	qua stiamo in estate di là in inverno quindi cambia
418	PST063_trad	1244.246	1252.415	417	e noi pensavamo che sarebbe lo stesso che in perù più caldo tutto tranquillo no è stato uno shock tremendo per noi
442	PST063_trad	1328.126	1335.609	441	sì sarebbe meglio andare in un posto dove non ci sia tanta gente dove il volo sia meno costoso anche
