tu_id	speaker	start	end	parent_tu_id	text
48	PST125_trad	77.970	81.280	47	e fa ragazzo ragazzo ragazzo
164	PST125_trad	284.410	286.500	163	cosa succede @migui
258	PST125_trad	457.730	458.594	257	subito amore mio
262	PST125_trad	458.887	460.861	261	dammi un piattino dammi un piattino
460	PST125_trad	690.160	691.760	459	vuole questo, questo questo
463	PST125_trad	692.673	693.200	462	questo
488	PST122_trad	735.190	737.562	487	sul tavolo nel caso lo metta lì
519	PST125_trad	774.677	775.626	518	@ana vuoi stare qua?
523	PST125_trad	778.081	783.070	522	però tu alleni questi bimbi alla @nomesocietà lì dove c'è corso unione sovietica
592	PST125_trad	893.700	894.860	591	fai attenzione
686	PST122_trad	1049.700	1050.460	685	non vuole
758	PST125_trad	1169.250	1171.820	757	però togligli... dammi che ti taglio questo pezzo dammi
822	PST122_trad	1293.638	1294.990	821	#_mh non vuole (capire)
961	PST125_trad	1513.330	1515.517	960	oh che vecchio
1041	PST125_trad	1645.536	1648.746	1040	@a~ @do~ @vi~ @dora non disturbarla
1298	PST122_trad	2045.530	2048.510	1297	oh che noioso
1650	PST123_trad	2543.162	2545.039	1649	sì perché non ce n'erano altre
1718	PST125_trad	2659.987	2661.915	1717	cosa stai facendo @migui
1724	PST125_trad	2666.793	2669.706	1723	@migui dammi il bicchiere che ti ha dato prima papà
1764	PST125_trad	2718.260	2719.550	1763	@miguel lascia
1773	PST122_trad	2734.899	2738.300	1772	cioè o mi trovo un vecchietto, andando
1849	PST122_trad	2850.019	2851.031	1848	ti tolgo
1853	PST122_trad	2861.156	2863.091	1852	ba~ togliglielo togliglielo
2081	PST122_trad	3229.220	3230.760	2080	lo rompi
2107	PST122_trad	3261.100	3262.920	2106	così si rompe
2418	PST122_trad	3713.470	3714.674	2417	noioso
2434	PST122_trad	3730.410	3731.680	2433	no no no non voglio
2553	PST125_trad	3883.530	3886.580	2552	lascia lì
2623	PST124_trad	3963.710	3964.280	2621	giovedì
2871	PST122_trad	4354.880	4356.640	2870	domani viene @xx a prenderti
2894	PST122_trad	4382.310	4384.200	2893	mh (quella più pazza) sei tu #mammina
2983	PST122_trad	4515.260	4517.110	2982	no no no lascia
3129	PST124_trad	4698.090	4699.520	3128	(sorella tornerai)
3131	PST122_trad	4699.630	4701.430	3130	(sì sorella tornerò)
3135	PST122_trad	4707.260	4710.612	3134	xxx mangiare il piccione io gli ho detto no signore mi spiace
3210	PST122_trad	4811.330	4813.650	3209	e lui mi fa no basta stai zitta io faccio no
3281	PST122_trad	4907.640	4912.000	3280	l'altra volta c'era l'asse del water alzata e lui (stava per cadere dentro)
3293	PST122_trad	4925.049	4928.192	3292	perché se no è circondato da tante donne e diventa
3296	PST122_trad	4929.610	4930.170	3295	non so che cosa
3504	PST122_trad	5233.600	5235.880	3503	quello di (impazzisci) lì sì
