token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST136	0	0	0	shuf-ti	shuf-ti	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=2.26|End=2.78	_	_	_	_
2-0	PST135	2	2	0	c(io)è	cioè	_	_	_	_	_	linguistic	_	none	Reduced=Yes	Begin=3.01	_	_	_	_
2-1	PST135	2	2	1	immagina	immagina	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST135	2	2	2	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST135	2	2	3	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
2-4	PST135	2	2	4	anno	anno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PST135	2	2	5	scorso	scorso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST135	2	2	6	avevo	avevo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PST135	2	2	7	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PST135	2	2	8	maturità	maturità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-9	PST135	2	2	9	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PST135	2	2	10	stavo	stavo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PST135	2	2	11	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-12	PST135	2	2	12	guardare	guardare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-13	PST135	2	2	13	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-14	PST135	2	2	14	maturità	maturità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-15	PST135	2	2	15	degli	degli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-16	PST135	2	2	16	altri	altri	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-17	PST135	2	2	17	al	al	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-18	PST135	2	2	18	posto	posto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-19	PST135	2	2	19	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-20	PST135	2	2	20	andare	andare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-21	PST135	2	2	21	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-22	PST135	2	2	22	studiare	studiare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-23	PST135	2	2	23	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-24	PST135	2	2	24	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-25	PST135	2	2	25	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-26	PST135	2	2	26	maturità	maturità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-27	PST135	2	2	27	tipo	tipo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-28	PST135	2	2	28	ah	ah	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-29	PST135	2	2	29	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=9.483	_	_	_	_
3-0	PST135	3	3	0	godo	godo	_	_	_	_	_	linguistic	_	none	_	Begin=9.483	_	_	_	_
3-1	PST135	3	3	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PST135	3	3	2	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=10.517	_	_	_	_
5-0	PST135	5	5	0	mio	mio	_	_	_	_	_	linguistic	_	none	_	Begin=10.525	_	_	_	_
5-1	PST135	5	5	1	padre	padre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PST135	5	5	2	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PST135	5	5	3	fa	fa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PST135	5	5	4	[eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
5-5	PST135	5	5	5	ridi	ridi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(0)
5-6	PST135	5	5	6	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(0)
5-7	PST135	5	5	7	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
5-8	PST135	5	5	8	maturità]	maturità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(0)
5-9	PST135	5	5	9	degli	degli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	PST135	5	5	10	altri	altri	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-11	PST135	5	5	11	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-12	PST135	5	5	12	vediamo	vediamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-13	PST135	5	5	13	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-14	PST135	5	5	14	tua	tua	_	_	_	_	_	linguistic	_	none	_	End=13.917	_	_	_	_
6-0	PST138	6	6	0	[no	no	_	_	_	_	_	linguistic	_	none	_	Begin=11.25	_	_	_	0-2(0)
6-1	PST138	6	6	1	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
6-2	PST138	6	6	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
6-3	PST138	6	6	3	difficile]	difficile	_	_	_	_	_	linguistic	_	none	_	End=12.19	_	_	_	0-9(0)
7-0	PST135	7	7	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=13.917	_	_	_	_
7-1	PST135	7	7	1	gli	gli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST135	7	7	2	faccio	faccio	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
7-3	PST135	7	7	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
7-4	PST135	7	7	4	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PST135	7	7	5	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PST135	7	7	6	[cattiva	cattiva	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(1)
7-7	PST135	7	7	7	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(1)
7-8	PST135	7	7	8	cosa]	cosa	_	_	_	_	_	linguistic	_	none	_	End=15.54	_	_	_	0-4(1)
8-0	PST138	8	8	0	[no	no	_	_	_	_	_	linguistic	_	some	_	Begin=14.983	_	_	_	0-2(1)
8-1	PST138	8	8	1	no	no	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-2(1)
8-2	PST138	8	8	2	veramente]	veramente	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-9(1)
8-3	PST138	8	8	3	il	il	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-4	PST138	8	8	4	#bac	bac	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
8-5	PST138	8	8	5	del	del	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-6	PST138	8	8	6	marocco	marocco	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-7	PST138	8	8	7	è	è	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-8	PST138	8	8	8	veramente	veramente	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-9	PST138	8	8	9	difficile	difficile	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-10	PST138	8	8	10	[raga]	raga	_	_	_	_	_	linguistic	_	some	_	End=18.26	_	_	_	0-4(2)
10-0	PST135	10	10	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=17.84	_	_	_	0-2(2)
10-1	PST135	10	10	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=18.34	_	_	_	0-2(2)
11-0	PST136	11	11	0	#gul-lik	gul-lik	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	Begin=18.33	_	_	_	_
11-1	PST136	11	11	1	#ki	ki	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-2	PST136	11	11	2	#talle3-lik	talle3-lik	_	_	_	_	_	warning	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-3	PST136	11	11	3	#waḥed	waḥed	_	_	_	_	_	warning	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-4	PST136	11	11	4	#l-sma	l-sma	_	_	_	_	_	linguistic	_	some	PauseAfter=Yes|Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-5	PST136	11	11	5	(.)	(.)	_	_	_	_	_	shortpause	_	some	_	_	_	_	_	_
11-6	PST136	11	11	6	#u	u	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-7	PST136	11	11	7	#ki	ki	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-8	PST136	11	11	8	#luḥuh	luḥuh	_	_	_	_	_	warning	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-9	PST136	11	11	9	#men	men	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-10	PST136	11	11	10	#l-ṭ-ṭeyyara	l-ṭ-ṭeyyara	_	_	_	_	_	warning	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-11	PST136	11	11	11	#u	u	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-12	PST136	11	11	12	#ki	ki	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-13	PST136	11	11	13	#gul-lik	gul-lik	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-14	PST136	11	11	14	#ḥeseb	ḥeseb	_	_	_	_	_	warning	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
11-15	PST136	11	11	15	la	la	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
11-16	PST136	11	11	16	velocità	velocità	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
11-17	PST136	11	11	17	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	some	_	End=23.833	_	_	_	_
13-0	PST135	13	13	0	fisica	fisica	_	_	_	_	_	linguistic	_	none	_	Begin=23.833	_	_	_	_
13-1	PST135	13	13	1	[xx]	xx	_	_	_	_	_	unknown	_	none	Syllables=2	End=24.988	_	_	_	0-2(4)
14-0	PST138	14	14	0	[l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=24.692	_	_	_	0-2(4)
14-1	PST138	14	14	1	ho]	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(4)
14-2	PST138	14	14	2	visto	visto	_	_	_	_	_	linguistic	_	none	_	End=25.425	_	_	_	_
15-0	PST136	15	15	0	fisica	fisica	_	_	_	_	_	linguistic	_	none	_	Begin=25.725	_	_	_	_
15-1	PST136	15	15	1	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=26.763	_	_	_	0-2(5)
16-0	PST137	16	16	0	[l'	l'	_	_	_	_	_	linguistic	_	some	SpaceAfter=No	Begin=26.463	_	_	_	0-2(5)
16-1	PST137	16	16	1	esame]	esame	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-5(5)
16-2	PST137	16	16	2	#bi-l-français	bi-l-français	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	End=27.588	_	_	_	_
18-0	PST136	18	18	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=28.999	_	_	_	_
18-1	PST136	18	18	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	PST136	18	18	2	pare::h	pareh	_	_	_	_	_	linguistic	_	none	_	_	3x2	_	_	_
18-3	PST136	18	18	3	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-4	PST136	18	18	4	inglese	inglese	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-5	PST136	18	18	5	devono	devono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-6	PST136	18	18	6	sc~d~devono	sc~d~devono	_	_	_	_	_	error	_	none	_	_	_	_	_	_
18-7	PST136	18	18	7	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-8	PST136	18	18	8	tipo	tipo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-9	PST136	18	18	9	[la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(6)
18-10	PST136	18	18	10	produ]zione	produzione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(6)
18-11	PST136	18	18	11	scritta	scritta	_	_	_	_	_	linguistic	_	none	_	End=33.31	_	_	_	_
19-0	PST138	19	19	0	[ah]	ah	_	_	_	_	_	linguistic	_	none	_	Begin=31.944|End=32.3	_	_	_	0-2(6)
20-0	PST138	20	20	0	[#I	i	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Volume=high|Variation=Token	Begin=33.122	_	_	_	0-2(7)
20-1	PST138	20	20	1	#said]	said	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	0-5(7)
20-2	PST138	20	20	2	#my	my	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-3	PST138	20	20	3	#name	name	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-4	PST138	20	20	4	#is	is	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-5	PST138	20	20	5	non	non	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
20-6	PST138	20	20	6	mi	mi	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
20-7	PST138	20	20	7	ricordo	ricordo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
20-8	PST138	20	20	8	il	il	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
20-9	PST138	20	20	9	nome	nome	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
20-10	PST138	20	20	10	#i	i	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-11	PST138	20	20	11	#love	love	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-12	PST138	20	20	12	#morocco	morocco	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-13	PST138	20	20	13	#yo[u	you	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	3-4(8)
20-14	PST138	20	20	14	#should	should	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	0-7(8)
20-15	PST138	20	20	15	#visit]	visit	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	0-6(8)
20-16	PST138	20	20	16	#it	it	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
20-17	PST138	20	20	17	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	some	_	End=39.31	_	_	_	_
22-0	PST136	22	22	0	[you	you	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=37.744	_	_	_	_
22-1	PST136	22	22	1	should	should	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
22-2	PST136	22	22	2	visit	visit	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
22-3	PST136	22	22	3	it]	it	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
22-4	PST136	22	22	4	((ride))	((ride))	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=39.333	_	_	_	_
24-0	PST136	24	24	0	((ride))	((ride))	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=39.778	_	_	_	_
24-1	PST136	24	24	1	safi	safi	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
24-2	PST136	24	24	2	hadshi	hadshi	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
24-3	PST136	24	24	3	li	li	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
24-4	PST136	24	24	4	kayin	kayin	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	_	_	_	_	_
24-5	PST136	24	24	5	((ride))	((ride))	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	End=43.316500000000005	_	_	_	_
26-0	PST138	26	26	0	madonna	madonna	_	_	_	_	_	linguistic	_	none	_	Begin=43.316500000000005|End=43.9	_	_	_	_
27-0	PST135	27	27	0	dai	dai	_	_	_	_	_	linguistic	_	none	_	Begin=43.943	_	_	_	_
27-1	PST135	27	27	1	continuiamo	continuiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-2	PST135	27	27	2	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-3	PST135	27	27	3	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-4	PST135	27	27	4	nomi	nomi	_	_	_	_	_	linguistic	_	none	_	End=45.532	_	_	_	_
