tu_id	speaker	start	end	parent_tu_id	text
11	PST017_trad	25.160	26.320	10	solamente in marocco
15	PST017_trad	30.895	34.025	14	fino alla quarta elementare
18	PST017_trad	35.190	35.740	17	dopo
20	PST206_trad	37.070	37.820	19	dopo?
22	PST017_trad	37.960	41.470	21	poi sono arrivata qui e ho iniziato la quinta elementare
26	PST017_trad	48.350	51.860	25	e sono venuta qui da mio padre che era qui
28	PST017_trad	51.890	55.660	27	da dall'anno dal duemila
30	PST017_trad	55.720	57.590	29	e noi siamo arrivati qui nel duemilasette
34	PST017_trad	60.780	63.850	33	papà, mamma e mio fratello
43	PST017_trad	81.608	82.798	42	perché
46	PST017_trad	83.992	86.455	45	eh lo posso usare nel lavoro
50	PST017_trad	93.010	97.031	49	eh l'arabo mi può aiutare nel lavoro
52	PST017_trad	97.172	98.530	51	anche l'italiano
54	PST017_trad	99.498	100.877	53	ma
56	PST017_trad	101.726	106.747	55	mi ritengo cioè fortunata, che l'arabo non è una lingua che si impara
58	PST017_trad	106.788	108.251	57	cioè molto facilmente
60	PST017_trad	108.303	111.219	59	meglio per me cioè come lingua madre
67	PST017_trad	128.835	130.941	66	non lo so cioè
70	PST017_trad	132.977	134.007	69	o sette
73	PST017_trad	139.881	142.131	72	ehm cioè sei
95	PST017_trad	187.682	191.300	94	quindi ehm e non ero per nulla capace di parlare
97	PST017_trad	191.646	195.499	96	non ero per nulla capace di parlare italiano neanche le lezioni potevo seguirle
99	PST017_trad	195.808	199.484	98	bene non capivo per nulla cosa stava dicendo la prof
101	PST017_trad	199.675	203.558	100	poi anche in prima, seconda
104	PST017_trad	204.888	208.021	103	anche anche se la professoressa non mi ricordo di che
107	PST017_trad	209.720	212.801	106	ricordo che la professoressa iniziò il programma dall'inizio
110	PST017_trad	215.068	216.840	109	anche lì, non stavo capendo niente
112	PST017_trad	216.980	221.150	111	quindi anche se rispiegavano non stavo capendo nulla e così cioè
115	PST017_trad	221.680	224.850	114	è andata così addirittura non ho neanche avuto
117	PST017_trad	224.930	229.690	116	non mi è arrivata l'occasione eh cioè non ho trovato
119	PST017_trad	230.900	232.640	118	ho trovato una lezione
123	PST017_trad	236.280	237.050	122	nella scuola
125	PST017_trad	237.190	242.490	124	sono capitata in un anno in cui se non avessi studiato italiano fino al punto di capire cosa stava dicendo la prof
127	PST017_trad	243.120	245.910	126	era ormai troppo tardi perché il programma era
133	PST017_trad	260.560	263.680	132	dico niente di che sì
142	PST017_trad	279.140	285.460	141	perché in arabo anche se ho fatto sono andata a scuola in in in marocco fino alla quarta elementare
144	PST017_trad	285.640	292.950	143	ma scrivere mi è troppo difficile cioè prendere appunti in arabo mi è troppo difficile, preferisco prendere appunti in italiano
146	PST017_trad	293.220	300.650	145	è più facile cioè scrivo eh cioè scrivo subito, scrivo a mano subito, è difficile scriverlo in arabo
148	PST017_trad	300.730	304.830	147	al punto che se cioè c'è uno che legge un testo scritto in arabo
150	PST017_trad	304.950	308.770	149	probabilmente scrivo in italiano cioè non scrivo in arabo
155	PST017_trad	317.650	321.450	154	cioè mi trovo pure quando parlo mi trovo a m~
286	PST017_trad	678.795	681.885	285	cioè eh i miei compagni là in marocco
289	PST017_trad	684.020	685.390	288	cioè parlano con te
291	PST017_trad	685.700	687.410	290	anche se tu stavi zitta
293	PST017_trad	687.630	689.150	292	non parlavano con te
295	PST017_trad	689.395	689.885	294	non
342	PST017_trad	853.810	857.490	341	ultimamente cioè cioè possono accettare quelli che hanno la laurea
344	PST017_trad	857.800	861.770	343	e in un paese estero posso anche cioè posso essere anche pagata bene
460	PST017_trad	1174.400	1177.630	459	non ci sono parole difficili e avanzate
590	PST017_trad	1503.835	1506.955	589	cioè che uno viva
593	PST017_trad	1512.700	1513.960	592	cioè un dio
623	PST017_trad	1599.740	1604.430	622	sì però dico che meno cioè meno male che so l'arabo
693	PST017_trad	1817.470	1819.000	692	non si impiccia nella tua vita
697	PST017_trad	1820.740	1823.420	696	la gente si impiccia ti dice cosa devi fare
702	PST017_trad	1832.920	1836.510	701	che le persone cioè non sono unite
705	PST017_trad	1839.570	1840.650	704	nel suo cortile
707	PST017_trad	1841.165	1845.755	706	non sono socievoli e poi ultimamente sento che c'è più razzismo
