token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST110	0	0	0	arabo	arabo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=3.59|End=4.77	_	_	_	_
1-0	PST108	1	1	0	mh?	mh	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=4.87|End=5.39	_	_	_	_
2-0	PST110	2	2	0	arabo	arabo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=5.47|End=6.76	_	_	_	_
3-0	PST108	3	3	0	arabo	arabo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=8.16|End=10.7	_	_	_	_
4-0	PST110	4	4	0	arabo	arabo	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE	Begin=11.71|End=12.83	_	_	_	_
5-0	PST211	5	5	0	beh	beh	_	_	_	_	_	linguistic	_	none	_	Begin=17.86	_	_	_	_
5-1	PST211	5	5	1	sembra:	sembra	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
5-2	PST211	5	5	2	solido	solido	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PST211	5	5	3	comunque	comunque	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PST211	5	5	4	questo	questo	_	_	_	_	_	linguistic	_	none	_	End=19.915	_	_	_	_
6-0	PST217	6	6	0	{ride}	{ride}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=20.255	_	_	_	_
6-1	PST217	6	6	1	sì:	sì	_	_	_	_	_	linguistic	_	none	_	End=21.455	1x1	_	_	_
7-0	PST217	7	7	0	ieri	ieri	_	_	_	_	_	linguistic	_	none	_	Begin=21.48	_	_	_	_
7-1	PST217	7	7	1	qualcuno	qualcuno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST217	7	7	2	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PST217	7	7	3	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PST217	7	7	4	detto	detto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
