tu_id	speaker	start	end	parent_tu_id	text
18	PST148_trad	43.774	45.535	17	però quest'anno, se dio vuole, andrò
138	PST222_trad	226.881	229.382	137	okay, è un mix di inglese e italiano
145	PST222_trad	230.584	231.224	144	tunisino
177	PST222_trad	273.620	274.390	176	crociera
213	PST148_trad	315.300	316.150	212	mannula (nome proprio di persone femminile veggezzativo)
236	PST149_trad	348.960	350.690	235	niente, sì sì niente
255	PST149_trad	382.890	384.580	254	
282	PST149_trad	437.018	441.498	281	però anche in marocco facciamo la stessa cosa, anche in marocco facciamo molto
291	PST222_trad	458.500	461.040	290	come per esempio sahel el shamali (un paradiso sulla costa d'egitto)
325	PST149_trad	488.670	490.360	323	che dio vi benedica
328	PST149_trad	491.980	496.280	327	noi no, noi solamente due settimane e basta perché i miei lavorano
381	PST149_trad	565.530	567.936	380	sì, sì, si muore di caldo, fa troppo caldo
400	PST148_trad	586.520	587.484	399	se dio vuole
403	PST222_trad	588.980	590.350	402	ah sì, ho la libertà
405	PST222_trad	590.450	591.940	404	hai capito, come si dice?
408	PST148_trad	590.460	591.350	406	se dio vuole
447	PST149_trad	657.160	658.610	446	e poi in giornata
493	PST148_trad	716.560	718.040	492	sì, non ne abbiamo viste di simili
497	PST222_trad	719.270	724.472	496	il deserto, però, shaiyb, non è shaiyb
499	PST148_trad	720.830	721.916	498	shaiyb al-banat (montagna in egitto)
510	PST222_trad	740.840	742.530	509	se parli di sharm el-sheikh e dahab
514	PST222_trad	743.550	745.656	513	se parli delle parti di sharm el-sheikh e dahab
516	PST148_trad	745.743	748.087	515	no, no, non sharm el-sheikh è proprio shaiyb
520	PST148_trad	751.370	753.446	519	tutta quella parte, non mi fa sentire a mio agio
527	PST149_trad	759.195	762.445	526	noi in marocco sì, noi in marocco abbiamo tanta montagna
535	PST149_trad	771.990	774.680	534	che quando c'è stato il terremoto, quando c'è stato il terremoto
544	PST149_trad	782.045	783.525	542	il terremoto, l'anno scorso
560	PST149_trad	805.010	809.680	559	recitavano, sì, sì era una classe, di cos'era, recitavano il corano
673	PST222_trad	984.585	986.165	672	si chiama la retorica
677	PST222_trad	989.310	990.711	676	la retorica
680	PST149_trad	991.060	991.690	678	
696	PST222_trad	1017.810	1019.890	695	sì, come la parola ''rimanere saldi sulla retta via''
743	PST149_trad	1067.585	1070.235	742	no, non l'ho mai sentito. l'arabo classico...
745	PST149_trad	1070.535	1071.875	744	io parlo solo il dialetto marocchino
764	PST149_trad	1104.272	1109.920	763	almeno per torino sono nuovi gli egiziani, non è, invece i marocchini è da tanto tempo che sono venuti qui
826	PST222_trad	1195.630	1197.290	825	si chiama ''cucina'' online
830	PST149_trad	1198.235	1198.940	829	è normale, è normale
834	PST222_trad	1199.450	1202.205	833	sì è normale, non c'è problema, siamo tranquilli
869	PST147_trad	1252.549	1255.653	868	perché il venerdì c'è la preghiera del venerdì
871	PST149_trad	1254.410	1255.660	870	preghiera del venerdì
875	PST147_trad	1263.140	1265.370	874	per esempio in marocco il giorno del venerdì
877	PST147_trad	1265.490	1267.359	876	quindi il giorno del venerdì
1041	PST222_trad	1530.555	1533.870	1040	gli piace il eh come si chiama, il cibo asciutto non condito
1064	PST149_trad	1578.550	1579.830	1063	con le mani, sì
1066	PST147_trad	1578.900	1579.850	1065	con le mani
1077	PST149_trad	1597.960	1603.819	1076	noi sì, noi più roba italiana che marocchina, solamente quando ci manca, cioè proprio quando vogliamo mangiare marocchino
1121	PST148_trad	1672.270	1674.310	1120	carne xxx
1134	PST222_trad	1687.526	1693.130	1133	qui si chiama, si chiamano anche (tajine con carne), si chiama carne macellata, giusto?
1155	PST222_trad	1714.160	1715.010	1154	il zucchine
1522	PST222_trad	2297.300	2299.710	1521	eh quella moschea moschea omar
1702	PST149_trad	2528.934	2533.920	1701	sì sì ho vissuto più qui che in marocco non ho la mentalità dei marocchini
1721	PST149_trad	2554.620	2558.020	1720	sono diversi dai marocchini che invece abitano in marocco
1723	PST147_trad	2557.350	2557.820	1722	
1991	PST222_trad	2912.430	2914.240	1990	eh rimani s~ come si chiama l'identità
1993	PST222_trad	2915.400	2916.440	1992	come si chiama l'identità
2024	PST222_trad	2948.180	2949.700	2023	ah qui nel eh, nel garage?
2030	PST148_trad	2958.620	2959.900	2029	questa è mal ridotta vedi che si
2058	PST149_trad	2995.140	2997.600	2057	un paese arabo però non il marocco
2060	PST222_trad	2998.070	2998.800	2059	non il marocco
2062	PST149_trad	2998.790	3002.470	2061	no, in marocco ci vivrei solamente quando
2065	PST149_trad	3002.780	3004.360	2064	divento vecchia, quando invecchierò
2071	PST149_trad	3020.460	3023.586	2070	invece però vorrei andare in un paese arabo, cioè un’altra
2162	PST149_trad	3130.660	3131.230	2161	il paese
2280	PST148_trad	3302.480	3304.540	2279	
2296	PST147_trad	3326.230	3328.690	2295	è molto costoso
2349	PST222_trad	3382.942	3385.082	2348	xx mio fratello, mio fratello
2462	PST222_trad	3549.310	3550.702	2461	che è la medicina la medicina
2688	PST222_trad	3892.980	3894.500	2687	la tua lingua di riferimento
2695	PST222_trad	3900.898	3903.038	2694	per me la mia lingua di riferimento
2728	PST148_trad	3951.695	3953.725	2727	c'è anche un'altra che si chiama studio sperimentale
2730	PST222_trad	3954.055	3954.885	2729	studio sperimentale
2732	PST148_trad	3954.640	3955.410	2731	studio sperimentale
2758	PST222_trad	3991.040	3993.990	2757	eh io stavo
2771	PST148_trad	4001.490	4002.070	2770	grazie
