token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST225	0	0	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=0.41|End=0.626	_	_	_	_
1-0	PST200	1	1	0	°perfetto,°	perfetto	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|Volume=low	Begin=0.63|End=1.183	_	_	_	_
2-0	PST225	2	2	0	@helena	@helena	_	_	_	_	_	anonymized	_	none	_	Begin=2.4	_	_	_	_
2-1	PST225	2	2	1	e	e	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
2-2	PST225	2	2	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
2-3	PST225	2	2	3	@lucia	@lucia	_	_	_	_	_	anonymized	_	none	_	End=3.6005000000000003	_	_	_	_
3-0	PST006	3	3	0	°@lucia°	@lucia	_	_	_	_	_	anonymized	_	none	Volume=low	Begin=3.6005000000000003|End=4.281	_	_	_	_
4-0	PST200	4	4	0	okay:	okay	_	_	_	_	_	linguistic	_	none	_	Begin=4.289|End=5.079	3x1	_	_	_
5-0	PST006	5	5	0	no,	no	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=6.433	_	_	_	_
5-1	PST006	5	5	1	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	_	_	_	_	_
5-2	PST006	5	5	2	@helena	@helena	_	_	_	_	_	anonymized	_	none	_	_	_	_	_	_
5-3	PST006	5	5	3	io:	io	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
5-4	PST006	5	5	4	[@lucia]	@lucia	_	_	_	_	_	anonymized	_	none	_	_	_	_	_	0-6(?)
5-5	PST006	5	5	5	le~	le~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
5-6	PST006	5	5	6	[(.)	.	_	_	_	_	_	error	_	none	_	_	_	_	_	_
5-7	PST006	5	5	7	a:h]	ah	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	0-2(?)
5-8	PST006	5	5	8	sì:,	sì	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=10.671	1x1	_	_	_
6-0	PST005	6	6	0	[non	non	_	_	_	_	_	linguistic	_	none	_	Begin=8.301	_	_	_	0-3(0)
6-1	PST005	6	6	1	siamo	siamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
6-2	PST005	6	6	2	diver~]	diver~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	End=9.129	_	_	_	0-6(0)
7-0	PST200	7	7	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=8.871|End=10.25	_	_	_	_
8-0	PST200	8	8	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=11.987	_	_	_	_
8-1	PST200	8	8	1	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PST200	8	8	2	eh,	eh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=12.807	_	_	_	_
9-0	PST225	9	9	0	posso	posso	_	_	_	_	_	linguistic	_	none	_	Begin=15.67	_	_	_	_
9-1	PST225	9	9	1	chiedervi	chiedervi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PST225	9	9	2	quanti	quanti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
