tu_id	speaker	start	end	parent_tu_id	text
4	PST086_trad	5.220	6.912	3	eh ma non li ha mandati al signor cosmin?
6	PST203_trad	7.340	9.770	5	ah no se ce li ha il signor cosmin no~
11	PST092_trad	14.690	16.930	10	col telefono del signor cosmin non è che sono
24	PST092_trad	32.970	40.679	23	ma io tipo cioè inizierei proprio con la domanda perché mi ricordo che ho fatto la domanda: com'è nato il centro metterei proprio quella domanda con (chi è) l'equipe [del centro]
27	PST211_trad	40.679	43.890	26	okay scrivilo qua sopra magari com'è nato il centro
39	PST092_trad	60.830	61.890	38	com'è nato il centro
59	PST092_trad	99.860	102.770	58	magari poi l'orchestra insieme all'intervista del signor popescu
75	PST092_trad	119.081	121.793	74	no facciamo dei pezzi che riguardino di più il centro
80	PST203_trad	125.980	126.660	79	signor
126	PST092_trad	189.690	193.780	125	l'intervis~ cioè tipo l'intervista della signora ecaterina dura per un un bel pezzo di durata
130	PST092_trad	194.650	199.512	129	magari riprendiamo delle domande dell'intervista alla signora ecaterina e tipo quando parla delle stanze che c'è sala dei nonni
141	PST092_trad	213.130	219.650	140	e poi visto che la signora ecaterina se non ricordo male ha fatto la presentazione delle stanze
150	PST092_trad	228.080	232.520	149	perché pensavo tipo di prendere tipo le domande chiavi della ecaterina e metterle dopo ogni cosa
162	PST085_trad	242.110	243.500	161	dai che scrivo io
175	PST092_trad	261.030	262.810	174	ma non puoi scrivere tipo solo sala dei nonni
214	PST087_trad	322.570	328.731	213	metti solo tipo qualche domanda com'è nato il centro e poi facciamo sul montaggio e tipo unisci
225	PST092_trad	339.340	342.241	224	cioè adesso mi è venuto in mente tipo quel collegamento di sala dei nonni
265	PST086_trad	410.470	412.740	264	quando la signora ecaterina spiega i balli
325	PST087_trad	501.590	505.030	324	si apriva tipo una porta e poi mettiamo l'intervista della signora ecaterina
382	PST092_trad	578.460	581.037	381	non possiamo sfruttare quelle che ha fatto la signora madalina
386	PST092_trad	583.640	589.690	385	che la signora marinela mi ricordo è venuta la signora marinela ha fatto almeno tipo tre volte le clip di noi che cantavamo la stessa strofa non possiamo suare quelle
391	PST092_trad	591.010	594.120	390	possiamo chiedere alla si~ chiediamo alla signora ecaterina se possiamo usarle
423	PST092_trad	642.720	644.220	422	#_negli anni passati
437	PST092_trad	662.480	664.395	436	cosa dobbiamo chiedere alla signora ecaterina?
475	PST203_trad	711.240	713.240	474	intervista alla signora ecaterina
492	PST092_trad	734.266	735.496	491	e del centro
494	PST092_trad	735.710	737.882	493	se non sbaglio abbiamo fatto anche una domanda sul centro
531	PST092_trad	774.790	777.570	530	passione per la musica e collaborazione col centro
545	PST085_trad	793.270	794.980	544	allora ilaria stammi a sentire un attimo
562	PST085_trad	815.860	816.860	561	cosa mi tocchi
594	PST092_trad	861.730	864.730	593	andrà tutto bene tipo pandemia covid
616	PST092_trad	896.370	898.890	615	parlavi di quan~ di quando sei arrivata al centro
633	PST092_trad	927.660	929.699	632	eh pensieri del centro
637	PST092_trad	929.756	931.570	636	pensieri di anita del centro
645	PST087_trad	959.180	962.141	644	eh come copertura mentre parla la signora ecaterina
651	PST092_trad	965.200	971.838	650	quando la signora @ecaterina parla delle attività magari mettiamo tipo quando parla dei balli mettiamo le clip di dei balli e poi facciamo ritorno alla signora ecaterina
711	PST085_trad	1064.290	1067.698	710	grazie
724	PST087_trad	1084.370	1086.210	723	prima che inizi a parlare la signora ecaterina
733	PST092_trad	1094.650	1101.535	732	non dipende in base alla signora ecate~ cioè non dipende in base a cosa dice leonardo perché non so se leonardo l'abbiamo intervistato prima o dopo
788	PST203_trad	1190.390	1192.580	787	quindi partiamo con la signora ecaterina
855	PST086_trad	1317.030	1319.630	854	e poi l'ha mandato alla signora ecaterina e al signor cosmin
866	PST087_trad	1336.227	1337.817	865	cioè stanno facendo la con l'orchestra
961	PST092_trad	1528.944	1532.376	960	se no mettiamo la clip di mh io che ti vesto con le robe di sala dei nonni
985	PST087_trad	1557.060	1558.700	984	gli hai messo la bambola
1004	PST087_trad	1581.160	1581.848	1003	centro
1066	PST086_trad	1677.540	1679.420	1065	#_il futuro è in buone mani
1081	PST092_trad	1705.350	1706.920	1080	#_le radici nel ballo
1088	PST092_trad	1715.980	1719.670	1087	il cuore che balla dall'italia alla romania a ritmo di musica
1092	PST083_trad	1723.390	1725.054	1091	la nostalgia di casa se no
1094	PST086_trad	1724.906	1725.813	1093	la nostalgia di casa
1101	PST092_trad	1729.666	1730.773	1100	casa romena
1106	PST092_trad	1735.230	1737.120	1105	oppure anima romena
1114	PST086_trad	1744.320	1745.880	1113	la nostalgia di casa
1116	PST092_trad	1746.027	1751.707	1115	nostalgia di casa io mi sto sentendo troppo a casa mia in sto momento pe~ cioè potrei sdraiarmi e rimanere sdraiata per dire
1120	PST086_trad	1752.820	1753.420	1119	casa
1150	PST092_trad	1797.040	1798.660	1149	oh cavolo
1159	PST092_trad	1819.020	1822.340	1158	no mi dà animo romeno con l'italiano
1213	PST087_trad	1914.190	1915.350	1212	ciao
1215	PST085_trad	1915.330	1915.930	1214	mamma mia
1217	PST086_trad	1917.380	1918.900	1216	eh il signor cosmin è vecchio
1252	PST083_trad	1971.120	1972.330	1251	nostalgia di casa
1292	PST086_trad	2038.110	2040.080	1291	#_antenati antenati
1295	PST092_trad	2040.480	2042.200	1294	antena~ cosa c'entra
1297	PST085_trad	2042.201	2043.660	1296	dai antena~ da~
1300	PST086_trad	2043.770	2044.880	1299	cosa che
1302	PST086_trad	2045.900	2047.880	1301	che siamo anche noi vecchi ora
