token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST222	0	0	e:::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=0.599	0x3	_	_	_
0-1	PST222	0	1	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST222	0	2	mai	mai	_	_	_	_	_	linguistic	_	none	_	End=2.599	_	_	_	_
1-0	PST222	1	0	sei	sei	_	_	_	_	_	linguistic	_	none	_	Begin=3.33	_	_	_	_
1-1	PST222	1	1	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PST222	1	2	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PST222	1	3	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PST222	1	4	fatto	fatto	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-5	PST222	1	5	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-6	PST222	1	6	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PST222	1	7	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PST222	1	8	venuta	venuta	_	_	_	_	_	linguistic	_	none	_	End=5.923	_	_	_	_
2-0	PST144	2	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=6.55	0x1	_	_	_
2-1	PST144	2	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST144	2	2	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST144	2	3	nata	nata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PST144	2	4	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PST144	2	5	cresciuta	cresciuta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST144	2	6	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PST144	2	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PST144	2	8	italia	italia	_	_	_	_	_	linguistic	_	none	_	End=8.544	_	_	_	_
3-0	PST144	3	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=8.72	0x1	_	_	_
3-1	PST144	3	1	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PST144	3	2	miei	miei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PST144	3	3	genitori	genitori	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PST144	3	4	son	son	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PST144	3	5	venuti	venuti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PST144	3	6	e:h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
3-7	PST144	3	7	nel:	nel	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
3-8	PST144	3	8	nel	nel	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	PST144	3	9	mille	mille	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	PST144	3	10	otto~	otto~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
3-11	PST144	3	11	novecento	novecento	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-12	PST144	3	12	ottantanove	ottantanove	_	_	_	_	_	linguistic	_	none	_	End=13.657	_	_	_	_
4-0	PST144	4	0	e:hm:	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=13.973|End=15.413	0x1,2x1	_	_	_
5-0	PST144	5	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=16.0	_	_	_	_
5-1	PST144	5	1	altri::	altri	_	_	_	_	_	linguistic	_	none	_	_	4x2	_	_	_
5-2	PST144	5	2	ho	ho	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
5-3	PST144	5	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
5-4	PST144	5	4	altre	altre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PST144	5	5	sorelle	sorelle	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PST144	5	6	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	PST144	5	7	fratelli	fratelli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	PST144	5	8	tutte	tutte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	PST144	5	9	quante:	quante	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
5-10	PST144	5	10	nate	nate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-11	PST144	5	11	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-12	PST144	5	12	cresciute	cresciute	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-13	PST144	5	13	qui:	qui	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
5-14	PST144	5	14	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-15	PST144	5	15	grandi	grandi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-16	PST144	5	16	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-17	PST144	5	17	me	me	_	_	_	_	_	linguistic	_	none	_	End=21.756	_	_	_	_
6-0	PST144	6	0	e:hm:	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=21.923|End=23.043	0x1,2x1	_	_	_
7-0	PST144	7	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=24.45	_	_	_	_
7-1	PST144	7	1	niente	niente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST144	7	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PST144	7	3	vissuto	vissuto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PST144	7	4	tutta	tutta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PST144	7	5	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PST144	7	6	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PST144	7	7	vita	vita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PST144	7	8	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PST144	7	9	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-10	PST144	7	10	ita[lia]	italia	_	_	_	_	_	linguistic	_	none	_	End=26.41	_	_	_	3-6(1)
8-0	PST222	8	0	[ma]	ma	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=26.08	_	_	_	0-2(1)
8-1	PST222	8	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
8-2	PST222	8	2	studi	studi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PST222	8	3	o~	o~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
8-4	PST222	8	4	opt~	opt~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
