code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
STIA001	semistructured-interview	00:49:53	4	PST003;PST004;PST200;PST201	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA002	semistructured-interview	00:51:38	4	PST009;PST054;PST202;PST203	italian;other	TO	fixed	yes	asymmetric	_	no
STIA004	semistructured-interview	00:20:14	2	PST012;PST205	italian	TO	fixed	yes	asymmetric	_	no
STIA005	semistructured-interview	00:26:36	2	PST013;PST205	italian	TO	fixed	yes	asymmetric	_	no
STIA006	semistructured-interview	00:17:05	2	PST014;PST205	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA007	semistructured-interview	00:40:56	2	PST015;PST205	italian;other	TO	fixed	yes	asymmetric	_	no
STIA008	semistructured-interview	00:55:36	2	PST016;PST205	italian;other	TO	fixed	yes	asymmetric	_	no
STIA009	semistructured-interview	00:31:48	2	PST017;PST206	italian;other	TO	fixed	yes	asymmetric	_	no
STIA010	semistructured-interview	00:23:21	2	PST018;PST206	italian;other	TO	fixed	yes	asymmetric	_	no
STIA012	semistructured-interview	00:04:50	3	PST032;PST211;PST212	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA016	semistructured-interview	00:23:15	2	PST078;PST223	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA017	semistructured-interview	00:44:08	3	PST088;PST203;PST211	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA018	semistructured-interview	00:44:16	3	PST095;PST203;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIA019	semistructured-interview	00:18:52	2	PST106;PST216	italian;other	TO	fixed	yes	asymmetric	_	yes
STIA020	semistructured-interview	00:55:04	3	PST121;PST219;PST220	italian;other	TO	fixed	yes	asymmetric	_	no
STIA021	semistructured-interview	00:18:00	5	PST140;PST141;PST142;PST143;PST215	italian;other	TO	fixed	yes	asymmetric	_	no
STIA022	semistructured-interview	01:01:54	2	PST144;PST222	italian;other	TO	fixed	yes	asymmetric	_	yes
STCA001	free-conversation	00:34:02	7	PST133;PST134;PST135;PST136;PST137;PST138;PST139	italian;other	TO	free	no	symmetric	_	no
STCA002	free-conversation	00:49:06	4	PST107;PST108;PST110;PST217	italian;other	TO	free	no	symmetric	_	yes
STCA003	free-conversation	00:38:02	5	PST107;PST108;PST110;PST211;PST217	italian;other	TO	free	no	symmetric	_	yes
STCA004	free-conversation	00:38:39	6	PST107;PST108;PST109;PST110;PST211;PST217	italian;other	TO	free	no	symmetric	_	yes
STCA009	free-conversation	01:29:39	3	PST222;PST145;PST146	italian;other	TO	free	no	symmetric	_	yes
STCA010	free-conversation	01:07:20	4	PST147;PST148;PST149;PST222	italian;other	TO	free	no	symmetric	_	no
STCA012	free-conversation	00:44:53	2	PST158;PST214	italian;other	TO	free	no	symmetric	_	no
STIS001	semistructured-interview	00:49:23	4	PST001;PST002;PST200;PST201	italian;other	TO	fixed	yes	asymmetric	_	no
STIS003	semistructured-interview	00:50:29	4	PST005;PST006;PST200;PST225	italian;other	TO	fixed	yes	asymmetric	_	no
STIS004	semistructured-interview	00:46:19	3	PST007;PST008;PST201	italian;other	TO	fixed	yes	asymmetric	_	no
STIS005	semistructured-interview	00:46:54	2	PST038;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIS006	semistructured-interview	00:29:21	2	PST043;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIS008	semistructured-interview	00:41:06	2	PST049;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIS009	semistructured-interview	00:46:09	4	PST061;PST062;PST203;PST211	italian;other	TO	fixed	yes	asymmetric	_	yes
STIS010	semistructured-interview	00:22:42	2	PST063;PST212	italian;other	TO	fixed	yes	asymmetric	_	no
STIS011	semistructured-interview	00:04:41	4	PST063;PST066;PST209;PST211	italian;other	TO	fixed	yes	asymmetric	_	yes
STIS012	semistructured-interview	00:26:58	4	PST064;PST065;PST203;PST210	italian;other	TO	fixed	yes	asymmetric	_	no
STIS013	semistructured-interview	00:46:13	4	PST072;PST211;PST212;PST213	italian	TO	fixed	yes	asymmetric	_	no
STIS014	semistructured-interview	00:57:18	4	PST073;PST211;PST212;PST213	italian;other	TO	fixed	yes	asymmetric	_	yes
STIS015	semistructured-interview	00:19:57	2	PST074;PST203	italian;other	TO	fixed	yes	asymmetric	_	yes
STIS016	semistructured-interview	01:32:40	4	PST096;PST097;PST203;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STCS004	free-conversation	00:18:12	7	PST089;PST098;PST099;PST165;PST203;PST211;PST213	italian;other	TO	free	no	symmetric	_	no
STCS005	free-conversation	00:17:49	3	PST103;PST104;PST105	italian;other	TO	free	no	symmetric	_	yes
STCS006	free-conversation	00:29:02	4	PST112;PST113;PST114;PST115	italian;other	TO	free	no	symmetric	_	yes
STCS008	free-conversation	01:27:18	6	PST096;PST122;PST123;PST124;PST125;PST127	italian;other	TO	free	no	symmetric	_	yes
STCS009	free-conversation	00:44:33	6	PST160;PST161;PST162;PST163;PST164;PST166	italian;other	TO	free	no	symmetric	_	no
STCS010	free-conversation	01:12:34	9	PST160;PST161;PST162;PST163;PST164;PST165;PST166;PST072;PST211	italian;other	TO	free	no	symmetric	_	yes
STIR011	semistructured-interview	00:17:40	3	PST034;PST211;PST212	italian	TO	fixed	yes	asymmetric	_	no
STIR012	semistructured-interview	00:15:43	2	PST036;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIR013	semistructured-interview	00:25:53	3	PST039;PST212;PST213	italian;other	TO	fixed	yes	asymmetric	_	no
STIR014	semistructured-interview	00:10:36	3	PST041;PST212;PST213	italian;other	TO	fixed	yes	asymmetric	_	no
STIR015	semistructured-interview	00:47:21	2	PST042;PST212	italian	TO	fixed	yes	asymmetric	_	no
STIR016	semistructured-interview	00:13:05	2	PST044;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIR017	semistructured-interview	00:13:56	2	PST045;PST211	italian;other	TO	fixed	yes	asymmetric	_	yes
STIR018	semistructured-interview	00:19:59	2	PST046;PST211	italian	TO	fixed	yes	asymmetric	_	no
STIR019	semistructured-interview	00:27:00	3	PST050;PST212;PST213	italian	TO	fixed	yes	asymmetric	_	yes
STIR020	semistructured-interview	00:12:23	4	PST051;PST211;PST212;PST213	italian	TO	fixed	yes	asymmetric	_	no
STIR021	semistructured-interview	00:18:42	2	PST052;PST211	italian	TO	fixed	yes	asymmetric	_	yes
